;album_id;album;musicas_album;num_album;nome;data;artistas;popularidade;letra_explicita;duracao_ms;volume;bpm;energia;dancabilidade;vivacidade;fala;acustica;instrumentalidade;valencia;chave;modo;assinatura_tempo
0;21jF5jlMtzo94wbxmJ18aa;30;12;1;Strangers By Nature;2021-11-19;Adele;66;False;182163;-8.901;68.004;0.253;0.387;0.0848;0.0336;0.798;0.000159;0.134;5;1;5
1;21jF5jlMtzo94wbxmJ18aa;30;12;2;Easy On Me;2021-11-19;Adele;82;False;224694;-7.519;141.981;0.366;0.604;0.133;0.0282;0.578;0.0;0.13;5;1;4
2;21jF5jlMtzo94wbxmJ18aa;30;12;3;My Little Love;2021-11-19;Adele;70;False;389107;-10.661;151.865;0.492;0.339;0.147;0.0559;0.829;0.00377;0.102;1;1;4
3;21jF5jlMtzo94wbxmJ18aa;30;12;4;Cry Your Heart Out;2021-11-19;Adele;66;False;255278;-6.917;125.064;0.713;0.756;0.248;0.102;0.523;3.35e-06;0.59;7;1;4
4;21jF5jlMtzo94wbxmJ18aa;30;12;5;Oh My God;2021-11-19;Adele;82;False;225148;-3.906;88.098;0.725;0.534;0.0264;0.046;0.091;0.0;0.55;1;1;4
5;21jF5jlMtzo94wbxmJ18aa;30;12;6;Can I Get It;2021-11-19;Adele;74;False;210384;-6.118;97.985;0.68;0.703;0.178;0.0431;0.0171;0.0;0.536;9;0;4
6;21jF5jlMtzo94wbxmJ18aa;30;12;7;I Drink Wine;2021-11-19;Adele;74;False;376169;-5.596;115.389;0.565;0.437;0.119;0.0466;0.697;0.0;0.306;10;1;4
7;21jF5jlMtzo94wbxmJ18aa;30;12;8;All Night Parking (with Erroll Garner) Interlude;2021-11-19;Adele;68;False;161829;-9.666;127.989;0.497;0.734;0.194;0.166;0.67;2.35e-05;0.307;8;1;3
8;21jF5jlMtzo94wbxmJ18aa;30;12;9;Woman Like Me;2021-11-19;Adele;65;False;300247;-10.561;145.601;0.37;0.594;0.132;0.173;0.749;3.2e-05;0.329;4;0;4
9;21jF5jlMtzo94wbxmJ18aa;30;12;10;Hold On;2021-11-19;Adele;68;False;366004;-7.814;165.902;0.364;0.366;0.165;0.0433;0.858;1.15e-05;0.459;0;1;4
10;21jF5jlMtzo94wbxmJ18aa;30;12;11;To Be Loved;2021-11-19;Adele;70;False;403961;-8.291;170.425;0.176;0.356;0.231;0.0391;0.843;0.0;0.289;8;1;1
11;21jF5jlMtzo94wbxmJ18aa;30;12;12;Love Is A Game;2021-11-19;Adele;67;False;403044;-5.79;183.793;0.591;0.269;0.0702;0.0416;0.453;0.000695;0.228;10;0;4
12;6TVfiWmo8KtflUAmkK9gGF;25;11;1;Hello;2015-11-20;Adele;74;False;295502;-6.134;78.991;0.43;0.578;0.0854;0.0305;0.33;0.0;0.288;5;0;4
13;6TVfiWmo8KtflUAmkK9gGF;25;11;2;Send My Love (To Your New Lover);2015-11-20;Adele;72;False;223078;-8.363;164.069;0.533;0.688;0.172;0.0865;0.0355;3.48e-06;0.567;6;0;4
14;6TVfiWmo8KtflUAmkK9gGF;25;11;3;I Miss You;2015-11-20;Adele;60;False;348625;-4.246;113.072;0.578;0.382;0.433;0.047;0.00982;1.44e-05;0.156;5;1;4
15;6TVfiWmo8KtflUAmkK9gGF;25;11;4;When We Were Young;2015-11-20;Adele;78;False;290900;-5.936;144.361;0.595;0.376;0.095;0.0496;0.303;0.0;0.265;3;1;4
16;6TVfiWmo8KtflUAmkK9gGF;25;11;5;Remedy;2015-11-20;Adele;65;False;245426;-6.475;162.355;0.3;0.405;0.154;0.0378;0.894;0.0;0.24;2;1;3
17;6TVfiWmo8KtflUAmkK9gGF;25;11;6;Water Under the Bridge;2015-11-20;Adele;70;False;240439;-6.503;94.963;0.833;0.59;0.105;0.0615;0.0142;5.4e-06;0.538;5;0;4
18;6TVfiWmo8KtflUAmkK9gGF;25;11;7;River Lea;2015-11-20;Adele;58;False;225426;-5.588;82.378;0.585;0.384;0.116;0.0311;0.0591;1.77e-06;0.252;1;1;4
19;6TVfiWmo8KtflUAmkK9gGF;25;11;8;Love In The Dark;2015-11-20;Adele;78;False;285935;-6.057;109.821;0.341;0.331;0.109;0.0309;0.528;0.0;0.152;9;0;4
20;6TVfiWmo8KtflUAmkK9gGF;25;11;9;Million Years Ago;2015-11-20;Adele;64;False;227065;-7.623;105.929;0.274;0.72;0.11;0.0276;0.742;0.0;0.179;1;0;4
21;6TVfiWmo8KtflUAmkK9gGF;25;11;10;All I Ask;2015-11-20;Adele;74;False;271800;-5.494;141.916;0.28;0.591;0.124;0.0283;0.889;0.0;0.348;4;1;4
22;6TVfiWmo8KtflUAmkK9gGF;25;11;11;Sweetest Devotion;2015-11-20;Adele;55;False;251701;-5.471;155.89;0.752;0.416;0.125;0.0396;0.251;0.0;0.266;0;1;3
23;3AvPX1B1HiFROvYjLb5Qwi;25;11;1;Hello;2015-11-20;Adele;73;False;295502;-6.134;78.991;0.43;0.578;0.0854;0.0305;0.33;0.0;0.288;5;0;4
24;3AvPX1B1HiFROvYjLb5Qwi;25;11;2;Send My Love (To Your New Lover);2015-11-20;Adele;73;False;223078;-8.363;164.069;0.533;0.688;0.172;0.0865;0.0355;3.48e-06;0.567;6;0;4
25;3AvPX1B1HiFROvYjLb5Qwi;25;11;3;I Miss You;2015-11-20;Adele;59;False;348625;-4.246;113.072;0.578;0.382;0.433;0.047;0.00982;1.44e-05;0.156;5;1;4
26;3AvPX1B1HiFROvYjLb5Qwi;25;11;4;When We Were Young;2015-11-20;Adele;75;False;290900;-5.936;144.361;0.595;0.376;0.095;0.0496;0.303;0.0;0.265;3;1;4
27;3AvPX1B1HiFROvYjLb5Qwi;25;11;5;Remedy;2015-11-20;Adele;62;False;245426;-6.475;162.355;0.3;0.405;0.154;0.0378;0.894;0.0;0.24;2;1;3
28;3AvPX1B1HiFROvYjLb5Qwi;25;11;6;Water Under the Bridge;2015-11-20;Adele;68;False;240439;-6.503;94.963;0.833;0.59;0.105;0.0615;0.0142;5.4e-06;0.538;5;0;4
29;3AvPX1B1HiFROvYjLb5Qwi;25;11;7;River Lea;2015-11-20;Adele;57;False;225426;-5.588;82.378;0.585;0.384;0.116;0.0311;0.0591;1.77e-06;0.252;1;1;4
30;3AvPX1B1HiFROvYjLb5Qwi;25;11;8;Love In The Dark;2015-11-20;Adele;74;False;285935;-6.057;109.821;0.341;0.331;0.109;0.0309;0.528;0.0;0.152;9;0;4
31;3AvPX1B1HiFROvYjLb5Qwi;25;11;9;Million Years Ago;2015-11-20;Adele;63;False;227065;-7.623;105.929;0.274;0.72;0.11;0.0276;0.742;0.0;0.179;1;0;4
