;album;num_album;nome;letra;data
0;30 (Target Exclusive);1.0;Strangers By Nature;"[Verse 1]
I'll be taking flowers to the cemetery of my heart
For all of my lovers in the present and in the dark
Every anniversary, I'll pay respects and say I'm sorry
For they never stood a chance as if they could
When no one knows what it's like to be us

[Verse 2]
I've never seen the sky this colour before
It's like I'm noticin' everythin' a little bit more
Now that all the dust has settled
I rebut all my rebuttals
No one knows what it's likе to be us
[Chorus]
Strangers by nature
Strangеrs by nature

[Bridge]
Will I ever get there?
Oh, I hope that someday I'll learn
To nurture what I've done

[Outro]
Ooh-ooh, ooh
Ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh
Ooh-ooh-ooh
Ooh-ooh
Alright then, I'm ready";2021-11-19
1;30 (Target Exclusive);2.0;Easy On Me;"[Verse 1]
There ain't no gold in this river
That I've been washin' my hands in forever
I know there is hope in these waters
But I can't bring myself to swim
When I am drowning in this silence
Baby, let me in
[Chorus]
Go easy on me, baby
I was still a child
Didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me
[Verse 2]
There ain't no room for things to change
When we are both so deeply stuck in our ways
You can't deny how hard I've tried
I changed who I was to put you both first
But now I give up
[Chorus]
Go easy on mе, baby
I was still a child
Didn't get the chance to
Feel thе world around me
Had no time to choose what I chose to do
So go easy on me

[Bridge]
I had good intentions
And the highest hopes
But I know right now
It probably doesn't even show
[Chorus]
Go easy on me, baby
I was still a child
I didn't get the chance to
Feel the world around me
I had no time to choose what I chose to do
So go easy on me";2021-10-15
2;30 (Target Exclusive);3.0;My Little Love;"[Verse 1]
My little love
I see your eyes widen like an ocean
When you look at me so full of my emotions
I'm findin' it hard to be here sincerely
I know you feel lost, it's my fault completely
[Bridge: Adele & Angelo Adkins]
Tell me you love me
I love you a million percent
[Verse 2]
I don't recognise myself in the coldness of the daylight
So I ain't surprised you can read through all of my lies
I feel so bad to be here when I'm so guilty
I'm so far gone and you're the only one who can save mе

[Bridge: Angelo Adkins & Adele]
Oi, I feel like you don't love me
Why do you feel likе that?
Do you like me?
You know mummy doesn't like anyone else like I like you, right?

[Chorus]
I'm holdin' on (Barely)
Mama's got a lot to learn (It's heavy)
I'm holdin' on (Catch me)
Mama's got a lot to learn (Teach me)

[Bridge: Adele & Angelo Adkins]
Mummy's been having a lot of big feelings recently
Like how?
Just, like, hang on, my fingers are trapped
Like, um, I feel a bit confused
Why?
I don't know
And I feel like I don't really know what I'm doing
Oh, at all?
At all
And that would make me go...";2021-11-19
3;30 (Target Exclusive);4.0;Cry Your Heart Out;"[Chorus]
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace

[Verse 1]
When I walk in a room, I'm invisible, I feel like a ghost
All my friends keep on tellin' me that this feeling won't last, mmm
I can't get no relief, I'm so tired of myself, I swear I'm dead in the eyes
I have nothin' to feel no more, I can't even cry
[Pre-Chorus]
When will I begin to feel like me again?
I'm hanging by a thread
My skin's paper-thin, I can't stop wavering
I've never been more scared

[Chorus]
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace

[Verse 2]
When I wake up, I'm afraid of the idea of facin' the day
I would rather stay home on my own, drink it all away
Please stop callin' me, it's exhausting, there's really nothin' left to say
I created this storm, it's only fair I have to sit in its rain

[Pre-Chorus]
When will I begin to feel like me again?
I'm hanging by a thread
My skin's paper-thin, I can't stop wavering
I've never been more scared

[Chorus]
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace
Cry your heart out, it'll clean your face
When you're in doubt, go at your own pace";2021-11-19
4;30 (Target Exclusive);5.0;Oh My God;"[Verse 1]
I ain't got too much time to spare
But I'll make time for you to show how much I care
Wish that I would let you break my walls
But I'm still spinning out of control from the fall
Boy, you give good love, I won't lie
It's what keeps me comin' back even though I'm terrified

[Pre-Chorus]
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
[Chorus]
Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
Is a battle that I cannot fight

[Verse 2]
I'm a fool, but they all think I'm blind
I'd rather be a fool than leave myself behind
I don't have to explain myself to you
I am a grown woman and I do what I want to do

[Pre-Chorus]
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah
I know that it's wrong
But I want to have fun
Mmm, yeah, mmm, yeah

[Chorus]
Oh, my God, I can't believe it
Out of all the people in the world
What is the likelihood of jumping
Out of my life and into your arms?
Maybe, baby, I'm just losing my mind
'Cause this is trouble, but it feels right
Teetering on the edge of Heaven and Hell
Is a battle that I cannot fight";2021-11-19
5;30 (Target Exclusive);6.0;Can I Get It;"[Verse 1]
Pave me a path to follow
And I'll tread any dangerous road
I will beg and I'll steal, I will borrow
If I can make, if I can make your heart my home
Throw me to the water
I don't care how deep or shallow
Because my heart can pound like thunder
And your love, and your love can set me free

[Pre-Chorus]
Oh, I have promised I will love you 'til the end of time
Through it all, the good, the bad, the ugly, and divine
I will be the melody, the rhythm, and your rhyme
All I want is for you to be mine, mine
[Chorus]
So can I get it right now? Mmm
Can I get it right now? (Can I get it here?)
Can I get it right now?
Can I get it right now?
Let me, let me just come and get it

[Post-Chorus]
Can I get it?

[Verse 2]
You tease me with your control
Because I long to live under your spell
And without your love, I'm hollow
I won't make it, I won't make it on my own

[Pre-Chorus]
I have promised I will love you 'til the end of time (End of time)
Through it all, the good, the bad, the ugly and divine (So divine)
I will be the melody, the rhythm, and your rhyme (Mmm)
All I want is for you to be mine, mine

[Chorus]
So can I get it right now? Mmm
Can I get it right now? (Can I get it here?)
Can I get it right now?
Can I get it right now?
Let me, let me just come and get it";2021-11-19
6;30 (Target Exclusive);7.0;I Drink Wine;"[Verse 1]
How can one become so bounded by choices that somebody else makes?
How come we've both become a version of a person we don't even like?
We're in love with the world, but the world just wants to bring us down
By puttin' ideas in our heads that corrupt our hearts somehow
When I was a child, every single thing could blow my mind
Soaking it all up for fun, but now I only soak up wine
They say to play hard, you work hard, find balance in the sacrifice
And yet I don't know anybody who's truly satisfied

[Pre-Chorus]
You better believe I'm tryin' (Tryin', tryin')
To keep climbin' (Climbin', climbin')
But the higher we climb feels like we're both none the wiser
[Chorus]
So I hope I learn to get over myself
Stop tryin' to be somebody else
So we can love each other for free
Everybody wants somethin', you just want me

[Verse 2]
Why am I obsessin' about the things I can't control?
Why am I seekin' approval from people I don't even know?
In these crazy times, I hope to find somethin' I can cling on to
'Cause I need some substance in my life, somethin' real, somethin' that feels true

[Pre-Chorus]
You better believe for you, I've cried (I've cried, I've cried)
High tides (High tides, high tides)
'Cause I want you so bad, but you can't fight fire with fire, oh

[Chorus]
So I hope I learn to get over myself
Stop tryin' to be somebody else
Oh, I just want to love you, love you for free
Everybody wants somethin' from me, you just want me

[Bridge]
Listen, I know how low I can go, I give as good as I get
You get the brunt of it all 'cause you're all I've got left
Oh, I hope in time (Hope in time)
We both will find (We both find) peace of mind
Sometimes, the road less travelled is a road best left behind";2021-11-19
7;30 (Target Exclusive);8.0;All Night Parking Interlude;"[Verse 1]
I know you've got things to do (I do, too)
I just wanna spend all my time with you (It feels so good)
I'm so hard to impress, don't leave me on this stretch alone
When I'm out at a party, I'm just excited to get home

[Chorus]
And dream about you
All night long

[Verse 2]
I don't know how you got through to me (I'm so cold)
It's all happenin' so easily (Like, oh, my God)
It's so hard to digest, usually, I'm best alone
But every time that you text, I want to get on the next flight home
[Chorus]
And dream next to you
All night long

[Verse 3]
Maybe it's the way you remind me of (Where I come from)
Or how you make me feel beautiful (And thеn some)
The sight of you is dramatic, one glimpsе and I panic inside
I get lost in our hours 'cause you possess powers I can't fight

[Chorus]
That's why I dream about you
All night long
All night long
All night";2021-11-19
8;30 (Target Exclusive);9.0;Woman Like Me;"[Verse 1]
You're driving me away, give me a reason to stay
I want to be lost in you, but not in this way
Don’t think you quite understand who you have on your hands
How can you not see just how good for you I am?
I know that you've been hurt before
That's why you feel so insecure
I begged you to let me in ’cause I only want to be the cure
If you don't choose to grow, we ain't ever gonna know
Just how good this could be
I really hoped that this would go somewhere
[Chorus]
Complacency is the worst trait to have, are you crazy?
You ain't never had, ain't never had a woman like me
It is so sad a man likе you could be so lazy
Consistency is the gift to givе for free and it is key
To ever keep, to ever keep a woman like me

[Verse 2]
All you do is complain about decisions you make
How can I help lift you if you refuse to activate the life that you truly want?
I know it's hard, but it's not
We come from the same place, but you will never give it up
It's where they make you feel powerful
That’s why you think I make you feel small
But that’s your projection, it's not my rejection
I put my heart on the line for the very first time
Because you asked me to and now you’ve gone and changed your mind
But lovin' you was a breakthrough
I saw what my heart can really do
Now some other man will get the love I had for you
'Cause you don't care, oh

[Chorus]
Complacency is the worst trait to have, are you crazy?
You ain’t never had, ain't never had a woman like me
It is so sad a man like you could be so lazy
Consistency is the gift to give for free and it is key
To ever keep, to ever keep a woman like me";2021-11-19
9;30 (Target Exclusive);10.0;Hold On;"[Intro]
Hold on
You are still strong
Love will soon come
Just hold, hold on

[Verse 1]
Oh, what have I done yet again?
Have I not learned anything?
I don't want to live in chaos
It's like a ride that I want to get off
It's hard to hold on to who I am
When I'm stumblin' in the dark for a hand
I am so tired of battling with myself, with no chance to win
[Chorus]
(Hold on)
Let time be patient
(You are still strong)
Let pain be gracious
(Love will soon come)
Just hold, hold on

[Verse 2]
I swear to God, I am such a mess
The harder that I try, I regress
I'm my own worst enemy
Right now, I truly hate bein' me
Every day feels like the road I'm on
Might just open up and swallow me whole
How do I feel so mighty small
When I'm struggling to feel at all?

[Chorus]
Just hold on (Hold on)
Let time be patient
You are still strong (You are still strong)
Let pain be gracious (Love will soon come)
Just hold on (You, just hold on, you, just hold on)
Hold on (You, just hold on, just hold on)";2021-11-19
